id	chapter	topic	kind	front	answer	explanation	common_trap	difficulty	tags
ch03-024	3	Life-cycle saving	recall	What is the basic life-cycle idea of household saving?	People use saving and borrowing to smooth consumption across periods in which income differs.	A household may borrow or save little when young, save during high-earning years and run down assets in retirement. Current saving therefore depends on expected lifetime resources, not only current income.	High current income does not imply the household wants current consumption to move one-for-one with income.	2	saving,life-cycle
ch03-025	3	Saving and real rates	relationship	In the course’s simple saving model, how does household saving respond to a higher real interest rate?	Household saving rises; the saving schedule slopes upward.	A higher r raises the opportunity cost of current consumption relative to future consumption, generating a substitution toward saving. The course abstracts from ambiguous income effects and uses a positive aggregate relationship.	For exam purposes follow the course’s upward-sloping saving schedule even though richer models can have ambiguous effects.	2	saving,interest-rates
ch03-026	3	Public saving	formula	How is public saving/budget balance defined in Chapter 3 notation?	Public saving = T - G, where T = tax receipts - transfers - government interest payments.	A positive value is a budget surplus and adds to national saving; a negative value is a budget deficit and reduces national saving.	Do not include transfers or interest payments in G; they enter net taxes T in this notation.	1	saving,government,formula
ch03-027	3	National saving	formula	How is national saving decomposed?	National saving = private saving + public saving = household saving + business saving + public saving.	In a closed economy national saving is the pool of domestic resources available to finance investment. Retained earnings are business saving.	National saving is not simply household saving.	1	saving,formula
ch03-028	3	Closed-economy equilibrium	recall	What condition determines the real interest rate in the closed-economy saving-investment model?	National saving equals investment: NS(r) = I(r).	The real interest rate is the relative price that adjusts to clear the market for saving and investment. NS slopes upward and I slopes downward in the course model.	Do not treat r as fixed in this Chapter 3 model; it is the endogenous equilibrating variable.	1	saving-investment,equilibrium
ch03-029	3	Crowding out	scenario	What happens in the closed-economy model when the government budget deficit increases, other things equal?	National saving shifts left, the equilibrium real interest rate rises, and private investment falls.	The fall in public saving reduces the supply of national saving. The higher r restores NS=I by inducing more household saving and, crucially, less investment. The reduction in private investment is crowding out.	The deficit does not directly shift the investment curve in this model.	2	crowding-out,fiscal
ch03-030	3	Investment slump	scenario	What happens if desired investment falls exogenously in the closed-economy saving-investment model?	The investment curve shifts left; the equilibrium real interest rate falls and equilibrium saving/investment falls.	A weaker demand for investment funds lowers the relative price r. Because the saving schedule slopes upward, the lower r also reduces national saving until it equals the new lower investment level.	Do not say saving is fixed: household saving responds to r in this model.	2	investment,shifts
ch03-031	3	Saving vs investment	scenario	You use a tax refund to buy existing Rio Tinto shares. Is that macroeconomic saving or investment?	Saving, not macroeconomic investment.	You are acquiring an existing financial asset rather than financing the current production of a new capital good. The course repeatedly tests ordinary-language “investment” against the national-accounts definition.	Financial investment is not I in GDP.	1	classification,saving-investment
ch03-032	3	Saving vs investment	scenario	A household buys a newly built house using a mortgage. How is this classified?	The new house is investment expenditure; taking on the mortgage is negative saving/dissaving for the household.	Residential construction is included in macroeconomic investment even though households purchase it. Borrowing finances the acquisition by increasing liabilities.	An existing-house sale would not itself be current investment.	2	classification,saving-investment
ch04-001	4	Keynesian model assumption	recall	What key short-run assumption makes planned aggregate expenditure able to determine real GDP in the income-expenditure model?	Prices are fixed or sticky in the short run, so firms respond to unexpected demand by changing production rather than instantly changing prices.	If prices fully adjusted to clear all markets immediately, expenditure shocks would not translate into the same short-run quantity adjustments. Sticky prices are therefore the bridge from changes in desired spending to changes in real output.	Do not carry this fixed-price assumption into the later AD-AS model without qualification.	1	Keynesian-model,assumption
ch04-002	4	Actual vs planned expenditure	contrast	What is the difference between actual aggregate expenditure AE and planned aggregate expenditure PAE?	AE includes actual inventory investment, including unplanned inventory changes; PAE contains desired/planned spending, including planned inventory investment.	Because the national accounts identity makes actual expenditure equal actual output, AE=Y by construction. PAE need not equal Y away from equilibrium, and the difference shows up as unplanned inventory accumulation or depletion.	The equilibrium condition is PAE=Y, not “AE=Y,” because AE=Y is always true ex post.	2	PAE,inventories
ch04-003	4	PAE identity	formula	Write planned aggregate expenditure in the general open-economy form used in the course.	PAE = C + Iᴾ + G + X - M.	Iᴾ is planned investment. In the two-sector model G, X and M are omitted; later chapters progressively add them back.	Use planned investment Iᴾ in behavioural equilibrium equations, not actual I when unplanned inventories may occur.	1	PAE,formula
ch04-004	4	Short-run equilibrium	formula	What is the short-run equilibrium condition in the income-expenditure model?	Y = PAE.	At equilibrium firms sell exactly the amount they planned to sell, so there is no unintended change in inventories prompting output adjustment. Graphically this is the intersection of the PAE curve with the 45-degree line.	Y=AE is an accounting identity; Y=PAE is the behavioural equilibrium condition.	1	equilibrium,PAE
ch04-005	4	Disequilibrium inventories	scenario	If PAE < Y, what happens to inventories and what should firms do next?	There is an unplanned accumulation of inventories, so firms reduce production/output.	Actual production exceeds desired purchases. Unsold goods pile up as unintended inventory investment, signalling firms to cut output until Y moves toward PAE.	PAE<Y does not mean actual expenditure is less than GDP ex post; the inventory accumulation makes AE=Y.	1	inventories,disequilibrium
ch04-006	4	Disequilibrium inventories	scenario	If PAE > Y, what happens to inventories and what should firms do next?	Inventories are unintentionally depleted, so firms increase production/output.	Desired purchases exceed current production, so firms meet some demand by drawing down stocks. The unexpected inventory fall signals that production is too low.	A decline in inventories can be positive evidence of excess demand rather than weak demand, depending on whether it was planned.	1	inventories,disequilibrium
ch04-007	4	Consumption function	formula	State the simple two-sector consumption function.	C = C₀ + cY.	C₀ is autonomous consumption and c is the marginal propensity to consume (MPC), with 0<c<1. With no government sector, disposable income equals national income Y.	Once taxes are introduced, consumption depends on disposable income Y-T rather than simply Y.	1	consumption,formula
ch04-008	4	MPC	recall	What is the marginal propensity to consume (MPC)?	The increase in consumption caused by a one-unit increase in disposable income; in C=C₀+cYᴰ it is c.	If c=0.6, an extra $100 of disposable income raises consumption by $60. The remainder is marginal saving in the simple model.	MPC is a marginal change, not C/Y.	1	consumption,MPC
ch04-009	4	APC	formula	How is the average propensity to consume (APC) defined?	APC = C / Yᴰ.	Unlike the MPC, APC generally changes with income when autonomous consumption C₀ is nonzero. For C=C₀+cYᴰ, APC=C₀/Yᴰ+c and tends toward c as income grows.	Do not confuse APC with the slope of the consumption function.	2	consumption,APC
ch04-010	4	Autonomous vs induced expenditure	contrast	What is autonomous expenditure versus induced expenditure?	Autonomous expenditure does not depend on current Y; induced expenditure changes with Y.	In a simple PAE curve, the intercept collects autonomous components such as C₀ and Iᴾ, while cY is induced consumption. In open/government models taxes and imports change the induced slope as well.	“Exogenous” and “autonomous” are closely related here, but an exogenous variable can enter a behavioural equation in more than one way.	2	PAE,terminology
ch04-011	4	Two-sector equilibrium	formula	For C=C₀+cY and planned investment Iᴾ=I₀, what is equilibrium GDP?	Yᵉ = (C₀ + I₀)/(1-c).	Set Y=C₀+cY+I₀ and collect Y terms: (1-c)Y=C₀+I₀. The denominator is the leakage into saving from each extra dollar of income.	Do not forget to divide the entire autonomous-expenditure sum by 1-c.	2	equilibrium,formula
ch04-012	4	Multiplier	formula	What is the two-sector income-expenditure multiplier?	k = 1/(1-c).	A one-unit rise in autonomous spending first raises output by one, then induces c more consumption, then c², and so on. The geometric series sums to 1/(1-c).	The multiplier is larger when MPC c is larger, not smaller.	1	multiplier,formula
ch04-013	4	Multiplier	calculation	If c=0.6 and autonomous planned investment rises by 20, what is ΔY?	Multiplier = 1/(1-0.6)=2.5, so ΔY=50.	The first round is +20 output, the next induced-consumption round is +12, then +7.2, etc. Summing all rounds gives 20×2.5=50.	Do not stop after the first-round spending change.	1	calculation,multiplier
ch04-014	4	Multiplier process	recall	Why does an autonomous expenditure change have a multiplied effect on equilibrium GDP?	One person’s spending becomes another person’s income, part of which is spent again, creating successive induced-expenditure rounds.	Each round is smaller because only the MPC fraction is respent. Leakages such as saving, taxes and imports determine how quickly the process dies out.	The multiplier does not create unlimited output; with 0<c<1 the geometric series converges.	2	multiplier,intuition
ch04-015	4	45-degree diagram	recall	What does the 45-degree line represent in the income-expenditure diagram?	All points where planned/actual expenditure on the vertical axis equals output Y on the horizontal axis.	Its slope is one because the same unit is measured on both axes. The equilibrium is where the PAE curve intersects this line.	The 45-degree line is not the PAE curve itself.	1	graph,PAE
ch04-016	4	PAE shift	scenario	What happens to the PAE curve and equilibrium Y if planned investment falls exogenously?	PAE shifts downward by the investment fall; equilibrium Y falls by the change times the multiplier.	Investment is autonomous in the basic model, so its change alters the PAE intercept rather than the slope. Inventory disequilibrium starts the adjustment process.	Do not move along a fixed PAE curve when an autonomous component changes.	1	shifts,PAE
ch04-017	4	Saving function	formula	Derive the two-sector saving function from C=C₀+cY.	S = Y - C = -C₀ + (1-c)Y.	Autonomous consumption implies negative saving at sufficiently low income. The marginal propensity to save is 1-c in this simple no-government model.	The intercept of saving is -C₀, not +C₀.	2	saving,formula
ch04-018	4	Saving-investment equilibrium	formula	What is the equivalent equilibrium condition in the two-sector model expressed using saving?	S = Iᴾ.	Starting from Y=C+Iᴾ and subtracting C from both sides gives Y-C=Iᴾ, and Y-C is saving. This is the same equilibrium as PAE=Y, expressed as leakages equal injections.	This Chapter 4 equality determines Y given planned investment; Chapter 3 uses NS=I to determine r. Same accounting relation, different model closure.	2	equilibrium,saving-investment
ch04-019	4	Paradox of thrift	recall	What is the paradox of thrift in the basic Keynesian model?	If everyone tries to save more by cutting autonomous consumption, equilibrium income falls, and aggregate saving may fail to rise.	A fall in C₀ shifts PAE down and reduces Y through the multiplier. In the two-sector equilibrium, actual saving must still equal fixed planned investment, so the collective attempt to save more does not raise aggregate equilibrium saving.	Individual prudence need not aggregate to higher total saving when income is endogenous.	2	paradox-of-thrift,saving
ch04-020	4	Open economy imports	formula	How are imports modelled in the simple open-economy income-expenditure model?	M = mY, where m is the marginal propensity to import.	As domestic income rises, residents buy more imports, creating a leakage from spending on domestic production. This reduces the slope of PAE relative to a closed economy.	Imports are subtracted in PAE because they are expenditure on foreign output.	1	open-economy,imports
ch04-021	4	Open-economy PAE	formula	With C=C₀+cY, Iᴾ=I₀, X=X₀ and M=mY, what is PAE?	PAE = C₀ + I₀ + X₀ + (c-m)Y.	Exports and planned investment are autonomous injections; induced consumption raises PAE with Y while induced imports reduce spending on domestic output.	The slope is c-m, not c+m.	2	open-economy,PAE
ch04-022	4	Open-economy multiplier	formula	What is the multiplier in the simple open economy with no government?	k = 1/(1-c+m).	Imports add another leakage. Compared with the two-sector multiplier 1/(1-c), a positive m makes the denominator larger and the multiplier smaller.	The import term enters the denominator with a plus sign because M is subtracted from expenditure.	2	open-economy,multiplier
ch04-023	4	Open-economy equilibrium	formula	What leakage-injection condition is equivalent to equilibrium in the open economy with no government?	S + M = Iᴾ + X.	Saving and imports are leakages from the domestic expenditure stream; planned investment and exports are injections. Equality is algebraically equivalent to Y=PAE.	Net exports alone are not the full injection side; use X explicitly in this leakage-injection form.	2	open-economy,equilibrium
ch04-024	4	Open economy	calculation	C=200+0.6Y, Iᴾ=80, X=60 and M=0.1Y. Find equilibrium Y.	PAE=340+0.5Y, so Y=680.	Set Y=200+0.6Y+80+60-0.1Y. Then 0.5Y=340. The multiplier is 1/(1-0.6+0.1)=2.	Combine induced terms carefully: 0.6Y-0.1Y=0.5Y.	2	calculation,open-economy
ch04-025	4	Output adjustment	scenario	At Y=800, PAE=790. What is the unplanned inventory change and expected direction of Y?	Unplanned inventory accumulation is 10; firms are expected to reduce Y.	Because production exceeds planned spending by 10, the unsold output becomes unintended inventories. Firms respond by cutting production until PAE=Y.	The sign of unplanned inventory investment is Y-PAE here, not PAE-Y.	2	calculation,inventories
ch04-026	4	Parameters and variables	recall	In C=100+0.8Y and Iᴾ=50, identify a parameter, an exogenous variable and an endogenous variable.	0.8 (and 100) are parameters; Iᴾ=50 is exogenous; Y and C are endogenous in the model.	Parameters specify behavioural relationships; exogenous variables are taken as given; endogenous variables are solved within the model. The course often asks this classification before algebra.	A constant can be a parameter or an exogenous variable depending on what it represents; interpret the model, not just the number.	2	models,terminology
ch04-027	4	Multiplier size	relationship	What happens to the multiplier when the MPC rises, all else equal?	It rises.	With a larger c, less of each extra dollar leaks into saving and more is respent, so the chain of induced expenditure decays more slowly. Algebraically 1/(1-c) increases as c increases.	A high MPC makes the economy more responsive to autonomous spending shocks.	1	multiplier,comparative-statics
ch04-028	4	Multiplier size	relationship	What happens to the open-economy multiplier when the marginal propensity to import m rises?	It falls.	More of each extra dollar of income leaks into imported goods rather than demand for domestic output. In k=1/(1-c+m), a larger m increases the denominator.	Imports are a leakage, so greater import responsiveness dampens domestic multiplier effects.	1	multiplier,open-economy
ch04-029	4	PAE vs GDP identity	exam-trap	Why can actual aggregate expenditure equal GDP even when the economy is not in income-expenditure equilibrium?	Because unplanned inventory investment adjusts ex post so that actual expenditure equals the value of output; equilibrium additionally requires planned expenditure to equal output.	This distinction is one of the most testable conceptual traps in Chapter 4. Disequilibrium is revealed by unintended inventories, not by a violation of the national-accounts identity.	Never say AE≠Y as the definition of disequilibrium in this model.	3	exam-trap,PAE
ch05-001	5	Fiscal policy	recall	What is fiscal policy in this course?	Government decisions about purchases/spending, taxes and transfers that affect aggregate economic activity and the budget.	In the income-expenditure model, G affects planned expenditure directly while taxes and transfers affect it indirectly through disposable income and consumption. Fiscal policy can be discretionary or operate automatically through existing rules.	Do not confuse fiscal policy with RBA interest-rate policy, which is monetary policy.	1	fiscal-policy,definition
ch05-002	5	Tax function	formula	State the tax function used in the three-sector model.	T = T₀ + tY.	T₀ is autonomous net tax revenue and t is the marginal tax rate. Because some taxes rise and some transfers fall automatically as income rises, net taxes are positively related to GDP.	t is a marginal rate, not the average tax rate T/Y.	1	tax,formula
ch05-003	5	Marginal vs average tax rate	contrast	How do the marginal and average tax rates differ in T=T₀+tY?	Marginal tax rate = t; average tax rate = T/Y = T₀/Y + t.	The marginal rate tells you how much extra tax is generated by one more unit of income. The average rate depends on the level of Y whenever T₀ is nonzero.	Do not read T₀ as a tax rate; it is an autonomous dollar amount.	2	tax,terminology
ch05-004	5	Consumption with taxes	formula	Substitute T=T₀+tY into C=C₀+c(Y-T). What consumption function results?	C = C₀ - cT₀ + c(1-t)Y.	Only after-tax income induces consumption. The effective MPC out of national income is c(1-t), smaller than the MPC c out of disposable income.	The course review has a likely typo in one bracketed answer; algebraically the MPC out of disposable income is c, while out of Y it is c(1-t).	2	consumption,tax,formula
ch05-005	5	Three-sector PAE	formula	What is PAE in the closed three-sector model with taxes?	PAE = [C₀ - cT₀ + I₀ + G₀] + c(1-t)Y.	The bracketed term is autonomous expenditure. The slope is c(1-t), reflecting the fact that taxes siphon off part of each extra unit of income before it can generate consumption.	Do not add T directly to PAE; taxes influence C through disposable income.	2	PAE,fiscal,formula
ch05-006	5	Three-sector equilibrium	formula	What is equilibrium GDP in the closed three-sector model?	Yᵉ = [C₀ - cT₀ + I₀ + G₀] / [1 - c(1-t)].	Set Y=PAE and collect induced expenditure on the left. Compared with the two-sector model, the proportional tax rate makes the multiplier smaller.	Keep the whole autonomous bracket in the numerator.	2	equilibrium,fiscal,formula
ch05-007	5	Government spending multiplier	formula	What is the government expenditure multiplier in the closed three-sector model?	k_G = 1 / [1 - c(1-t)].	An extra dollar of G enters PAE dollar-for-dollar in the first round, then creates induced consumption in later rounds. The automatic tax response reduces those subsequent rounds.	k_G is not always the simple 1/(1-c) once t>0.	1	fiscal-multiplier,formula
ch05-008	5	Autonomous tax multiplier	formula	What is the autonomous tax multiplier?	k_T = -c / [1 - c(1-t)].	A $1 increase in autonomous taxes reduces disposable income by $1 but cuts first-round consumption only by c dollars, so its impact is smaller in absolute value than the G multiplier. A tax cut therefore raises Y.	The sign is negative for a tax increase. A transfer increase has the opposite sign because it raises disposable income.	2	fiscal-multiplier,formula
ch05-009	5	Fiscal multiplier comparison	recall	Why is |k_T| smaller than k_G?	Because a change in G affects PAE one-for-one initially, whereas a tax change affects PAE only through the fraction c of disposable-income change that households consume.	Algebraically |k_T| = c k_G and 0<c<1. This is why equal-sized spending and tax changes need not offset each other.	Do not assume a $100 tax cut and $100 G increase have identical GDP effects.	1	fiscal-multiplier,intuition
ch05-010	5	Balanced-budget multiplier	formula	What is the balanced-budget multiplier when ΔG₀=ΔT₀ in this model?	k_BB = (1-c)/[1 - c(1-t)] = k_G + k_T.	The spending increase raises PAE by the full ΔG, while the equal tax increase initially reduces consumption only by cΔT. The net first-round injection is (1-c)ΔG, which is then multiplied.	It equals 1 only in the special case t=0; with proportional taxes it can be less than 1.	3	fiscal-multiplier,balanced-budget
ch05-011	5	Balanced-budget multiplier	calculation	If c=0.8 and t=0.3, what is k_BB?	(1-0.8)/[1-0.8(0.7)] = 0.2/0.44 ≈ 0.45.	The textbook uses this example to show that the claim “balanced-budget multiplier equals one” is not generally true once proportional taxes are present.	Do not use k_G-k_T with k_T treated as a positive magnitude; k_T already carries a negative sign.	2	calculation,balanced-budget
ch05-012	5	Automatic stabilisers	recall	What is an automatic fiscal stabiliser?	A tax or transfer rule that changes with economic activity and dampens fluctuations without a new discretionary policy decision.	When Y falls, tax receipts fall and some transfers rise, supporting disposable income; when Y rises, the reverse occurs. In the model, a positive t lowers the multiplier and therefore dampens autonomous shocks.	Automatic does not mean instantaneous perfection; it means no new legislation or one-off decision is required for the response.	1	automatic-stabiliser,fiscal
ch05-013	5	Automatic stabilisers	relationship	Why does a higher marginal tax rate t reduce the income-expenditure multiplier?	It makes a larger fraction of each extra dollar of income leak into net taxes, so less becomes induced consumption.	In k=1/[1-c(1-t)], a larger t reduces c(1-t), increases the denominator and lowers k. This is the algebraic stabilisation mechanism.	The stabilising effect concerns the response to shocks, not necessarily the desirability of any tax rate.	2	automatic-stabiliser,multiplier
ch05-014	5	Discretionary fiscal policy	recall	What is discretionary fiscal policy?	A deliberate change in fiscal instruments—such as G, autonomous taxes or transfers—in response to actual or expected economic conditions.	Unlike automatic stabilisers, discretionary actions require diagnosis, design, political approval and implementation. These lags can make timing difficult.	Do not call the normal cyclical fall in tax receipts a discretionary tax cut.	1	discretionary-policy,fiscal
ch05-015	5	Fiscal policy lags	recall	Why can discretionary fiscal stabilisation be poorly timed?	Recognition, decision/legislative, implementation and economic-effect lags can mean the policy arrives after conditions have changed.	The Chapter 8 tutorial revisits this with a delayed tax cut that can become expansionary after the recession has already ended. Policy timing is therefore part of the exam-style reasoning, not just multiplier arithmetic.	A policy can be directionally sensible when announced yet destabilising when it actually hits the economy.	2	fiscal-policy,lags
ch05-016	5	Fiscal policy and output gap	scenario	How can fiscal policy close a contractionary output gap in the income-expenditure model?	Shift PAE upward using higher G, lower autonomous taxes, or higher transfers by enough that new equilibrium Y equals Y*.	The required instrument change equals the desired ΔY divided by the relevant fiscal multiplier. The choice of instrument matters because spending and tax multipliers differ.	Use the gap in levels for multiplier arithmetic unless the question explicitly works in percentages.	2	output-gap,fiscal-policy
ch05-017	5	Fiscal policy and output gap	scenario	How should contractionary fiscal policy affect an expansionary output gap?	Lower G and/or raise taxes/reduce transfers to shift PAE down and reduce equilibrium Y toward Y*.	An expansionary gap means demand/output is above sustainable potential. Contractionary fiscal policy reduces autonomous demand.	“Expansionary gap” describes the state of the economy, not the policy response you should use.	1	output-gap,fiscal-policy
ch05-018	5	Budget balance	formula	How is the government budget balance BB defined in the textbook notation?	BB = T - G, where T is tax revenue net of transfers and government interest payments.	BB>0 is a surplus; BB<0 is a deficit. In expanded notation, BB = tax receipts - transfers - interest - government purchases.	Government interest payments reduce the budget balance even though they are not part of G in GDP.	1	budget,formula
ch05-019	5	Primary budget balance	recall	What is the primary budget balance?	The budget balance excluding interest payments on existing government debt.	"Using tax receipts 	ilde T, transfers TR and purchases G, PBB = 	ilde T - G - TR. It isolates the current fiscal stance from the inherited cost of servicing past debt."	A government can have a primary surplus but an overall deficit if interest payments are large.	2	budget,public-debt
ch05-020	5	Debt stock and deficit flow	contrast	Why are the budget deficit and public debt different concepts?	The deficit/surplus is a flow over a period; public debt is a stock at a point in time.	A deficit adds to the debt stock, while a surplus reduces it. This stock-flow distinction is repeatedly tested throughout the course.	A large debt does not imply the current-year budget is necessarily in deficit.	1	stock-flow,public-debt
ch05-021	5	Debt dynamics	formula	What is the simple government debt accumulation identity?	D_t = D_{t-1} - BB_t.	Because a deficit has BB<0, subtracting it increases debt. A surplus has BB>0 and therefore reduces debt.	The sign convention makes deficits negative budget balances.	1	public-debt,formula
ch05-022	5	Government budget constraint	formula	State the expanded government budget constraint.	"G_t + TR_t + rD_{t-1} = 	ilde T_t + (D_t - D_{t-1})."	Current purchases, transfers and real interest payments must be financed by tax revenue or new borrowing. It is an accounting constraint on government funding, not a claim that every government should balance its budget each period.	Borrowing is a financing source on the right-hand side, not revenue from production.	3	public-debt,formula
ch05-023	5	Debt financing	recall	How does a government normally finance a budget deficit in this framework?	By issuing new government bonds/borrowing, which increases the stock of public debt.	The government can borrow from domestic or foreign private sectors; direct central-bank financing is treated separately and historically has greater inflation risk when used persistently at large scale.	Deficit spending and “printing money” are not synonymous in the standard setup.	2	public-debt,financing
ch05-024	5	Debt-to-GDP ratio	recall	Why is debt-to-GDP often more informative than the dollar level of debt?	It scales the debt burden by the economy’s capacity to generate income/output.	The same dollar debt is easier to service in a much larger economy. Sustainability analysis therefore focuses on d=D/Y rather than D alone.	A rising nominal debt can coexist with a stable or falling debt-to-GDP ratio if GDP grows sufficiently fast.	1	public-debt,ratio
ch05-025	5	Debt sustainability	formula	What approximate relation drives changes in the debt-to-GDP ratio in the textbook?	Δd = [(r-g)/(1+g)] d_{t-1} - pbb_t.	The existing debt ratio tends to rise if the real interest rate exceeds real GDP growth, unless offset by a primary surplus. Faster growth and lower interest rates make stabilisation easier.	pbb is the primary balance as a share of GDP; a primary surplus is positive and lowers Δd.	3	public-debt,sustainability,formula
ch05-026	5	Debt stabilisation	scenario	If r>g and the government runs a zero primary balance, what happens to the debt-to-GDP ratio?	It rises.	Interest compounds the existing debt faster than the denominator GDP grows. To hold the ratio constant when r>g, the government generally needs a primary surplus.	Zero overall deficit and zero primary deficit are different once interest payments exist.	2	public-debt,sustainability
ch05-027	5	Debt stabilisation	scenario	If g>r, how does that affect the primary balance required to stabilise debt/GDP?	It makes stabilisation easier; the government may be able to run some primary deficit while keeping the ratio stable.	When growth outpaces the real interest rate, the existing debt stock shrinks relative to GDP mechanically. The exact allowable primary deficit depends on the starting debt ratio and the r-g gap.	This does not mean deficits are costless or unlimited.	3	public-debt,sustainability
ch05-028	5	Public debt costs	recall	Name the three broad concerns about high public debt emphasised in the textbook.	Potential effects on economic growth, crowding out of private investment through higher interest rates, and intergenerational equity.	The text also stresses that empirical growth thresholds are contested. The conceptual mechanisms matter more for an introductory MCQ than memorising a particular disputed threshold.	Do not treat a specific debt/GDP threshold as an iron economic law.	2	public-debt,costs
ch05-029	5	Golden rule	recall	What is the fiscal “golden rule” discussed in the textbook?	Finance current government consumption from current taxes, but borrowing can be justified for productive long-lived public investment that benefits future generations.	The intergenerational logic is “pay as you use”: future taxpayers who receive some of the infrastructure’s benefits also bear some of its financing cost.	The rule does not say all government borrowing is good; it links borrowing to durable investment benefits.	2	public-debt,fiscal-rule
ch05-030	5	Balanced over the cycle	recall	What does “balance the budget over the business cycle” mean?	Allow deficits in recessions and seek surpluses in expansions so that cyclical deficits are roughly offset over time.	Forcing immediate balance during a recession could require tax rises or spending cuts that deepen a contractionary gap. The rule aims to preserve stabilisation while avoiding persistently rising debt.	It does not require BB=0 in every single year.	2	fiscal-rule,business-cycle
ch05-031	5	Four-sector model	formula	What is PAE in the four-sector model with proportional taxes and imports?	PAE = [C₀ - cT₀ + G₀ + I₀ + X₀] + [c(1-t)-m]Y.	Taxes and imports both reduce induced spending on domestic output. The intercept contains autonomous consumption net of autonomous-tax effects plus autonomous investment, government purchases and exports.	The slope is c(1-t)-m; imports are subtracted.	2	four-sector,PAE
ch05-032	5	Four-sector multiplier	formula	What is the four-sector multiplier?	k = 1 / [1 - c(1-t) + m].	The denominator contains leakages into saving, net taxes and imports. Higher t or m lowers the multiplier; higher c raises it.	The plus sign before m in the denominator follows from imports being a leakage.	2	four-sector,multiplier
ch05-033	5	Leakages and injections	formula	What is the four-sector equilibrium condition in leakage-injection form?	S + T + M = Iᴾ + G + X.	Private saving, net taxes and imports are leakages from the circular flow; planned investment, government purchases and exports are injections. This is algebraically equivalent to Y=PAE.	Be consistent about whether T means net taxes in the course notation.	2	four-sector,equilibrium
ch06-001	6	Asset return	formula	How do you calculate the one-period gross and net rate of return on an asset?	Gross return = (P₁ + income)/P₀; net rate of return = (P₁ + income - P₀)/P₀.	An asset rewards its holder through any cash income plus capital gain or loss. A gross return of 1.08 corresponds to an 8% net return.	Do not divide the capital gain alone by the final price; returns are measured relative to the initial purchase price.	2	assets,return,formula
ch06-002	6	Bond terminology	recall	What are a bond’s principal (face value), coupon and maturity?	Principal/face value is the promised amount repaid at maturity; the coupon is any periodic interest payment; maturity is the date/term until final repayment.	A zero-coupon bond has no periodic coupon and instead pays its face value at maturity. Bond prices today depend on the present value of promised future payments.	The market price of a bond need not equal its face value.	1	bonds,definition
ch06-003	6	Bond price	formula	What is the price today of a one-period zero-coupon bond that pays F next period when the market interest rate is i?	P = F/(1+i).	The bond price is the present value of its future payment. A higher required interest rate discounts the same future payment more heavily.	Do not multiply F by (1+i); that would compound a present amount forward rather than discount a future payment back.	1	bonds,present-value,formula
ch06-004	6	Bond price and interest rate	relationship	What happens to an existing bond’s market price when market interest rates rise?	Its price falls.	The bond’s promised payments are fixed. New securities now offer a higher return, so the old bond must become cheaper to offer the same market yield. Thus bond prices and yields move inversely.	This is about the market price of an already-issued bond, not necessarily the face value repaid at maturity.	1	bonds,interest-rate,high-yield
ch06-005	6	Bond price	calculation	A one-period bond pays $100 next year. What is its price if i=4%?	100/1.04 ≈ $96.15.	This is the exact worksheet calculation. At 2.5%, the same bond would be worth about $97.56, illustrating the inverse price-interest-rate relation.	Use the market rate in decimal form: 0.04, not 4.	1	bonds,calculation
ch06-006	6	Money functions	recall	What three functions of money are emphasised in the course?	Medium of exchange, unit of account and store of value.	As a medium of exchange money avoids barter’s double coincidence of wants; as a unit of account it provides a common price measure; as a store of value it transfers purchasing power through time.	Money can be an imperfect store of value during inflation and still count as money.	1	money,definition
ch06-007	6	Liquidity	recall	What does it mean for an asset to be liquid?	It can be converted quickly and cheaply into the medium of exchange with little loss of value.	Currency and transaction deposits are highly liquid. Houses and specialised machinery are much less liquid even though they can be valuable stores of wealth.	Liquidity is not the same as profitability or solvency.	1	money,liquidity
ch06-008	6	Fiat money	recall	What is fiat money?	Money whose value is not based on conversion into a commodity but on its accepted monetary status and confidence that others will accept it.	Modern currency is valuable because it is widely accepted for payments and supported by monetary/legal institutions, not because the notes themselves have equivalent intrinsic commodity value.	Do not confuse fiat money with commodity money such as gold used directly as money.	1	money,definition
ch06-009	6	Money stock	formula	In the simplified banking model, what makes up the money stock?	M = currency held by the public + bank deposits usable for payment (Cu + D).	Deposits count because they can directly make payments. Currency sitting inside a bank’s vault or settlement account is not simultaneously currency held by the public.	Do not add bank reserves to public currency and deposits as an extra component of ordinary money; that would double-count monetary-base assets as if they were public deposits.	2	money-supply,formula
ch06-010	6	Money demand	recall	Why do households and firms demand money balances?	Primarily to conduct transactions and as a liquid asset, trading convenience against the interest return forgone on other assets.	Higher income/output generates more transactions and raises desired money balances. A higher nominal interest rate raises the opportunity cost of holding non-interest-bearing money and lowers desired balances.	The relevant opportunity cost is usually the nominal interest rate because money and bonds are nominal financial assets.	2	money-demand,intuition
ch06-011	6	Money demand	relationship	How does higher real income Y affect the real money-demand curve MD/P?	It shifts real money demand to the right.	At any given nominal interest rate, a higher volume of transactions makes people want to hold more purchasing power as money.	Do not describe this as a movement along MD: Y is a shift variable, not an axis variable when the diagram plots money balances against i.	1	money-demand,shift-vs-movement
